,Lambda val,MSE-Training set,MSE- Testing set
0,0.0001,0.0007750639470331994,0.0008893660020885001
1,0.00018329807108324357,0.000775087211737884,0.0008888142501076189
2,0.0003359818286283781,0.0007751652072369296,0.0008878636521553343
3,0.0006158482110660267,0.0007754262173912592,0.0008863241011889664
4,0.0011288378916846883,0.0007762968054759409,0.000884176187077201
5,0.00206913808111479,0.0007791832157772697,0.0008824579239582969
6,0.00379269019073225,0.0007886493345660422,0.0008864892833291506
7,0.0069519279617756054,0.0008190921876708503,0.0009164101066131553
8,0.012742749857031334,0.0009136659057199051,0.001038077316484093
9,0.023357214690901212,0.00119050243944306,0.0014399551402975107
10,0.04281332398719392,0.0019255911610570075,0.002572685491696977
11,0.07847599703514607,0.0036091455721200963,0.005246078541846272
12,0.14384498882876628,0.006769230623661887,0.010334344459445468
13,0.26366508987303583,0.011526433107998387,0.018019533184361707
14,0.4832930238571752,0.017638052990582735,0.027840605622521396
15,0.8858667904100823,0.02588176577150337,0.0409794436384409
16,1.623776739188721,0.04052434789117072,0.0643346020024668
17,2.9763514416313193,0.07236304313169989,0.11532852593415896
18,5.455594781168514,0.14166741360245066,0.2253026190401833
19,10.0,0.2827740782180309,0.4405972386438333
